"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"119",60,"BallCreek","regression coefficient",0.0483686259303955,0.00175609834568015,27.5432330139017,3.61726151259068e-16,0.976822930733984,0.975535315774761,206.293842499826,NA,NA,NA,-127.702923402924,259.405846805847,261.29472476418,766028.690160178,18,19
"120",60,"ShopeFork","regression coefficient",0.0581151689336973,0.00283721446624593,20.483177999086,3.84907156086316e-17,0.943764694685676,0.941515282473103,153.052243422082,NA,NA,NA,-167.182795000292,338.365590000583,340.881783076626,585624.730413306,25,26
"121",61,"BallCreek","regression coefficient",0.0487117910544,0.00196950131099209,24.7330584562357,2.39350718174339e-15,0.97141605713336,0.969828060307435,231.36289277446,NA,NA,NA,-129.881954931375,263.763909862749,265.652787821082,963518.186753395,18,19
"122",61,"ShopeFork","regression coefficient",0.0588286641279931,0.00304461623050991,19.3221935620242,1.52268537066156e-16,0.937240672819333,0.934730299732106,164.240437225528,NA,NA,NA,-169.017149897666,342.034299795333,344.550492871376,674373.030500814,25,26
"123",62,"BallCreek","regression coefficient",0.0490746687223811,0.00218866965220913,22.4221451934729,1.3271156827839e-14,0.965434641766246,0.963514344086593,257.109218072925,NA,NA,NA,-131.886711914478,267.773423828956,269.662301787289,1189892.70032528,18,19
"124",62,"ShopeFork","regression coefficient",0.0591414445307413,0.00312115576649978,18.9485719250294,2.40744984376645e-16,0.934904034407537,0.932300195783838,168.369327668285,NA,NA,NA,-169.662691174854,343.325382349708,345.841575425751,708705.762486756,25,26
"125",63,"BallCreek","regression coefficient",0.0494574977677334,0.00241297326090977,20.496496405056,6.30515359742423e-14,0.958914086982442,0.956631536259244,283.458797775713,NA,NA,NA,-133.740462319966,271.480924639932,273.369802598265,1446280.02065615,18,19
"126",63,"ShopeFork","regression coefficient",0.0594746032514621,0.0032132653075596,18.5090857924308,4.16884377447357e-16,0.93198875221079,0.929268302299222,173.33813495004,NA,NA,NA,-170.418882420451,344.837764840901,347.353957916944,751152.725698958,25,26
"127",64,"BallCreek","regression coefficient",0.0498606176572353,0.0026419889434483,18.8723793795131,2.61671210220435e-13,0.951893100496899,0.949220494968949,310.361918127607,NA,NA,NA,-135.463236321241,274.926472642483,276.815350600815,1733841.36402925,18,19
"128",64,"ShopeFork","regression coefficient",0.0598274847355052,0.00332025789349755,18.0189270395749,7.79549332484753e-16,0.928506416730729,0.925646673399959,179.109801315819,NA,NA,NA,-171.270507449048,346.541014898096,349.057207974139,802008.023184805,25,26
"129",65,"BallCreek","regression coefficient",0.0502843440677636,0.00287546588181433,17.4873728760905,9.6446478336937e-13,0.944411539182319,0.941323291359115,337.789114827099,NA,NA,NA,-137.072207351361,278.144414702721,280.033292661054,2053826.74972215,18,19
"130",65,"ShopeFork","regression coefficient",0.0602018299803837,0.00344137571092585,17.4935360266686,1.5501904737095e-15,0.924476730087528,0.921455799291029,185.64344686723,NA,NA,NA,-172.202057516058,348.404115032117,350.92030810816,861587.234118651,25,26
"131",66,"BallCreek","regression coefficient",0.0507289327576537,0.00311322288818289,16.2946678023631,3.20117177270123e-12,0.936511564147442,0.9329844288223,365.719103227623,NA,NA,NA,-138.581639191993,281.163278383986,283.052156342319,2407508.3243811,18,19
"132",66,"ShopeFork","regression coefficient",0.0605674984391072,0.00356926813630303,16.9691645811294,3.13393294650748e-15,0.920115684396603,0.916920311772467,192.542545561933,NA,NA,NA,-173.150778367882,350.301556735763,352.817749811806,926815.796286722,25,26
